start	end	text
169.260	172.060	 no te habrías quedado atrapado en la montaña por la nieve durante días.
172.260	173.860	 Hermana, no digas eso.
174.060	175.260	 ¿Cómo está el cuñado ahora?
175.460	176.860	 Ya se siente mejor.
177.060	177.860	 Está un poco mejor que tú.
178.060	180.060	 Solo tuvo fiebre un día.
180.060	181.660	 Pero sigue tosiendo mucho estos días.
181.860	182.660	 Está descansando en casa.
182.860	188.920	 No pueden volver a andar corriendo por ahí.
189.120	215.840	 Descansen bien.
216.040	242.900	 El sapo dorado y el conejo de Jade me protegen.
243.100	247.100	 ¿Por qué tengo una luz púlpura en el entrecejo?
247.300	258.020	 Parece el ojo del dios Erlang.
258.220	259.620	 Mag.
259.820	262.020	 He regresado.
262.220	268.940	 Hay alguien aquí.
269.140	270.940	 No hay nadie.
271.140	283.550	 Las puertas y ventanas están selladas.
283.550	287.350	 Parece que traje todo del supermercado.
287.550	289.550	 De regreso a los años sesenta.
293.270	295.670	 Rayos, porque está lleno de nuevo.
299.650	301.650	 El supermercado se reabastece solo.
301.850	303.450	 Incluso si no puedo volver al mundo moderno,
303.650	305.050	 con un supermercado así.
305.250	307.250	 ¿Quién va a morir de hambre en los años sesenta?
307.450	309.650	 Pero no puedo sacar estas cosas de la nada.
309.850	311.850	 Si mi esposa pregunta, ¿qué le digo?
312.050	313.450	 Olvídalo, no pensaré en eso ahora.
313.650	316.250	 Debo llevar camotes para que coman algo.
316.450	318.050	 Si tardo más, van a morir de hambre.
318.250	319.450	 La carne es demasiado llamativa.
319.450	322.050	 Mejor pensaré en cómo sacarla después.
327.430	328.430	 Erhang.
341.210	342.410	 ¿Por qué te levantaste?
342.610	344.210	 Deberías dormir más.
344.410	345.610	 Dormí varios días.
345.810	347.210	 Ya sentía que apestaba.
347.410	349.210	 Me levanté a hacearme un poco.
349.410	351.210	 ¿Por qué te levantaste tan temprano?
352.880	353.680	 Tenía sed.
353.880	355.480	 Salía beber agua.
365.860	367.260	 Ya no bebas.
367.460	369.460	 Un amigo que es proveedor en la ciudad.
369.660	371.460	 Esta mañana me trajo unos camotes.
371.660	372.660	 Cocinémoslos.
372.860	373.460	 ¿Dónde están?
373.660	375.260	 ¿Dónde?
375.460	377.060	 Bem, enciende el fuego.
377.260	378.460	 Lavaré los camotes.
378.460	380.260	 Los cocinaremos de inmediato.
380.460	396.270	 Llovió.
396.470	402.830	 Ahí viene mamá.
406.390	410.390	 Se oyen pasos en el camino de la montaña.
410.590	413.990	 La fragancia de las flores cae en la mañana.
414.190	420.130	 Mamá, ¿qué se cocinará en la olla?
420.330	423.930	 Huele tan rico, incluso un poco dulce.
424.130	426.930	 Son camotes, saben deliciosos.
427.130	430.530	 Cuando estén listos, te daré el más dulce.
430.730	432.330	 Hay ceniza cerca de la estufa.
432.530	434.530	 Ve a sentarte al cán caliente primero.
434.530	437.330	 Cuando estén, serás la primera en comer.
466.900	468.300	 Hermano, me congelo.
468.500	470.700	 ¿Por qué tardas tanto en abrir?
470.900	473.100	 Qué frío hace.
473.300	476.500	 Me vas a dar unos panecillos.
476.700	479.810	 Entra rápido a calentarte.
480.010	481.810	 Hermano, que huele así en tu cuarto,
482.010	489.180	 tan dulce y rico.
489.380	491.380	 ¿De dónde sacaste camotes?
491.580	493.580	 Conozco a un proveedor en la ciudad.
493.780	495.380	 Le ayudé un par de veces antes.
495.580	496.980	 Sabe que no tenemos comida.
497.180	498.980	 Me los envió esta mañana con Dalvien.
499.180	501.980	 Llévale un poco a papá y mamá cuando vuelvas.
502.180	505.180	 Hermano, puedo comer uno ahora.
505.380	512.490	 Adelante, no hay un tazón vacío ahí.
512.690	518.510	 Comeré uno primero.
518.710	521.510	 Oye, primero llévale unos a papá y mamá.
521.710	523.510	 Papá y mamá acaban de desayunar.
523.710	525.110	 Se los llevaré en cuanto termine este.
525.310	526.910	 No dejaré que pasen el hambre.
527.110	530.970	 Jajaja.
531.170	532.570	 ¿Quién lo diría?
532.770	541.260	 Unos simples camotes pueden hacerlos tan felices.
541.460	542.660	 Con este clima tan frío.
542.860	543.860	 ¿A dónde vas?
544.060	545.660	 Apenas te recuperaste.
545.860	547.260	 Descansa unos días más en casa.
547.460	549.660	 No podemos dejar que coman solo camotes siempre.
549.860	550.660	 Saldré a dar una vuelta.
550.860	552.060	 Movérmeme hará sanar más rápido.
552.260	553.460	 No hay nada que hacer en casa.
553.660	555.460	 Iré al río a ver si pesco algo.
555.660	556.660	 Nuestra hija está muy delgada.
556.860	557.660	 Necesita comer dané para fortalecer.
557.860	559.660	 Con este frío es difícil pescar.
559.860	561.060	 En verano hay muchos peces en el río.
561.260	562.660	 Y aún así, la gente apenas logra pescar.
562.860	564.460	 Mucho menos en pleno invierno.
564.660	565.660	 No importa.
565.860	566.860	 Saldré a ver.
567.060	570.700	 De paso ejercitaré el cuerpo.
570.900	574.380	 Entonces regresa pronto.
574.580	591.100	 Un día.
591.100	592.900	 Madre mía, ¿cómo voy a pescar?
593.100	594.500	 Mi modo de romper el hielo.
594.700	597.100	 Terminaré convirtiéndome en un cubo de hielo.
628.430	632.230	 Con este frío, apenas sanas y ya te vas.
632.430	638.040	 Si te enfermas de nuevo, ¿qué harán tu esposa y hija?
638.240	640.440	 Mamá, mira lo que pesqué.
640.640	642.240	 Les, estoy bien.
643.880	645.680	 En pleno invierno.
645.880	647.680	 ¿Cómo conseguiste tantos peces?
647.880	649.680	 Hice un agujero en el hielo del río.
649.880	651.280	 Usé camote como carnada.
651.480	653.080	 No tardaron en subir a respirar.
653.280	655.480	 Atrapé cinco, vamos a entrar rápido.
655.480	661.660	 Los cocinaré para ustedes.
661.860	663.660	 Cinco carpas grandes.
663.860	665.060	 ¿De dónde salió este pescado?
665.260	666.260	 Padra.
666.460	668.460	 Fui al río con un camote y herramientas.
668.660	669.860	 Abrí un agujero y los pesqué.
670.060	672.060	 En invierno suben a respirar al golpe del hielo.
672.260	676.680	 Puse un poco de camote y los atrapé.
676.880	677.680	 Xiaoyan.
677.880	679.480	 Llevados a casa de tu hermana.
679.680	681.680	 Ayer tu mamá fue a pedir comida al jefe del pueblo.
681.880	684.480	 Tu hermana sacó media bolsa de maíz de su suegra.
684.680	687.480	 El jefe dijo que una familia, aunque a tu hermana, le da vergüenza.
687.680	688.680	 Está bien.
688.880	690.080	 Que mamá lleve también media bolsa de camotes.
690.080	691.280	 Regresemos esa comida.
691.480	692.680	 Cuando se acabe el pescado, iré por más.
692.880	694.280	 Si se acaban los camotes, veré qué hago.
694.480	697.280	 Por cierto, quiero ir a la ciudad en un par de días.
697.480	698.680	 Veré qué puedo hacer con unos amigos.
698.880	701.480	 A ver si consigo algún trabajo.
701.680	703.680	 Primero, no tienes dinero para comprar un puesto.
703.880	705.880	 Segundo, no tienes un oficio.
706.080	708.080	 Porque alguien te daría trabajo.
708.280	710.280	 Conozco unos comerciantes de trenes en la ciudad.
710.480	711.880	 Podría conseguir mercancías casa para las fábricas.
712.080	712.880	 Tal vez gane algo de dinero.
713.080	714.280	 Será más fácil comprar comida después.
714.480	715.480	 Iré a echar un vistazo en unos días.
715.680	718.880	 Parece que esta enfermedad hizo que mi hijo se volviera más astuto.
719.080	720.080	 No hablemos de eso ahora.
720.280	721.480	 Lo importante es el pescado.
721.680	724.080	 Hace mucho que no comemos carne en casa.
724.280	726.480	 Comeremos pescado dizado con camote.
726.680	728.480	 Baby, verá encender el fuego.
728.680	730.680	 Yo limpiaré el pescado para tu cuñada.
736.420	740.590	 Jajaja, enseguida.
740.790	742.190	 Vamos, Yueyue.
742.390	743.590	 Come más.
743.790	745.390	 Mamá, usted también.
745.590	746.990	 Coman todos.
747.190	749.190	 Vaya, estoy muy llena.
749.390	750.390	 Qué bueno que estés satisfecha.
750.590	764.470	 Mamá, iré a pescar más después.
764.670	766.270	 ¿Y esto de dónde salió?
766.270	768.070	 Mi hijo Xiaoyan fue al río,
768.270	771.670	 hizo un agujero en el hielo y pescó varios peces grandes.
771.870	773.270	 Además, un amigo proveedor de la ciudad,
773.470	776.270	 sabiendo que no teníamos comida, envió unos camotes con alguien.
776.470	778.870	 Y Xiaoyan insistió en traérselos a ustedes.
779.070	782.070	 Parece que después de enfermarse, tu hijo cambió.
782.270	786.220	 Por cierto, ¿cómo sigue el yerno?
786.420	788.620	 Ay, sigue el igual.
788.820	790.820	 La tos no se le quita del todo.
791.020	792.620	 Solo queda seguir cuidándolo.
792.820	794.620	 Jajajajaja.
797.820	800.420	 Ya es tarde, tengo que volver.
800.620	802.420	 Ya me voy.
802.620	805.620	 Vaya con cuidado, regrese pronto, adiós.
816.030	817.030	 Tua, cua.
817.230	825.830	 Hermano, en este río, ¿desde cuándo es tan fácil pescar?
827.950	829.750	 No era comer rápido.
829.950	834.350	 Si a Xiaoyan tienen este don, quizás podamos comer pescado seguido.
838.970	840.170	 ¿Por qué me miras?
840.370	842.370	 Se va a enfriar y no sabrá bien.
845.290	848.290	 Comer pescado siempre no es solución.
848.490	851.690	 Debo conseguir otra cosa para comer.
851.890	857.020	 Si no, toda la familia va a oler a pescado.
857.220	859.820	 ¿Cómo sigue Xiaoyan?
860.020	864.080	 Hermana, estoy mucho mejor.
864.280	867.480	 Mamá, Xiaoyan pescó otra vez tanto pescado.
867.680	869.680	 Sí, pescó diez.
869.880	871.480	 Quizá mostrés al mediodía.
871.680	876.610	 Llévate dos cuando te vayas.
876.810	879.210	 Mi hermano se recuperó.
879.410	886.820	 Y ahora es muy capaz.
887.020	891.420	 El pescado es rico, pero hartan en diez días.
891.620	893.620	 Hay que conseguir algo más.
893.820	896.020	 Mamá, saldré a dar una vuelta.
896.220	899.020	 A ver si consigo algo de casa.
899.220	901.420	 Jef, vas a entrar a la montaña otra vez.
901.620	903.420	 Casi pierdes la vida ahí la última vez.
903.620	904.620	 Y todavía quieres ir.
904.820	906.220	 Espera a que pase el invierno.
906.420	908.020	 Mamá, no se preocupe.
908.220	909.620	 No iré a lo profundo del bosque.
909.820	911.420	 Solo daré una vuelta por la orilla.
911.620	917.050	 Con mi estado físico, no tengo fuerzas para ir muy lejos.
917.250	918.450	 Entonces regresa pronto.
918.650	919.850	 No te quedes hasta tarde.
920.050	921.250	 Está congelado afuera.
921.450	922.850	 Sí, lo sé.
923.050	952.580	 Papá, sale a ayudarme.
959.600	963.000	 Jef, ¿de dónde salió esta oveja?
963.200	964.400	 Puse una trama en la orilla de la montaña.
964.600	965.800	 Usé camote cosido como cebo.
966.000	967.200	 Y atrapé dos ovejas salvajes.
967.400	968.200	 Eran muy grandes.
968.400	969.200	 Solo traje la carne.
969.400	971.000	 La cabeza y las vísceras las tiré por comodidad.
971.200	972.400	 Es más, híjero para caminar.
972.600	974.400	 De verdad, las atrapaste en la montaña.
974.600	975.400	 ¿Cómo voy a mentir?
975.600	977.200	 Si no, ¿de dónde las habría sacado?
977.400	978.600	 En nuestro pueblo no hay ni una oveja.
978.800	980.400	 Este niño cambió radicalmente tras la enfermedad.
980.600	982.000	 Llama a tu hermana y a tu esposa para cocinar.
982.200	983.000	 Iré a calentar agua.
983.200	986.000	 ¿Por qué tiraste la cabeza y las vísceras?
986.200	987.400	 Eso es muy bueno.
987.600	989.600	 Bastante fue traer la carne de las dos ovejas.
989.800	992.000	 Con este frío, seguramente los lobos se lo comieron en la noche.
992.200	992.800	 Vamos a preparar esto, Radio.
993.000	994.000	 Cenaremos cordero guisado.
994.200	995.400	 Mañana llévale una pata a tu hermana
995.600	996.600	 para que luzca ante su familia política.
996.800	997.600	 ¿Cierto?
997.800	999.600	 ¿Qué tal si vendemos la otra oveja en el mercado negro?
999.800	1001.200	 Que tu papá te acompañe a la ciudad a venderla.
1001.400	1002.600	 Así podemos comprar algunos artículos de primera necesidad.
1002.800	1004.000	 A ver si conseguimos comida en el mercado negro.
1004.200	1005.200	 Mamá, entendido.
1005.400	1006.000	 Iré mañana por la tarde.
1006.200	1006.800	 No te preocupes.
1007.000	1007.800	 Papá, mejor no vayas.
1008.000	1008.600	 Ha sido demasiado frío afuera.
1008.800	1022.060	 Tu salud tampoco es muy buena.
1022.260	1023.260	 ¿Qué más da?
1023.460	1024.660	 Mejor enciende el fuego y cocinemos.
1024.860	1034.080	 Vamos a cenar cordero.
1034.280	1035.880	 Mamá, esta carne está deliciosa.
1036.080	1038.680	 No llevamos como cuatro o cinco años sin comer cordero.
1038.880	1040.880	 Solo tú eres tan trabón, aunque es verdad.
1041.080	1042.680	 Llevamos años sin probar este sabor.
1042.880	1044.880	 El cordero es mucho más sabroso que el pescado, mamá.
1045.080	1046.080	 Si te gusta, come más.
1046.280	1047.480	 Estos días han estado comiendo pescado.
1047.680	1048.680	 Su estómago ya se habrá acostumbrado.
1048.880	1050.080	 Si pasan mucho tiempo sin comer carne,
1050.280	1051.480	 comer de golpe puede causarles dolor de estómago.
1051.680	1052.680	 Hermano, estoy comiendo.
1052.880	1054.080	 ¿De qué hablas de dolor de estómago?
1054.280	1055.880	 Siento que el sabor del cordero cambió de repente.
1056.080	1058.680	 Tía, lo que estás comiendo es camote.
1058.880	1059.680	 ¿Cómo va a cambiar?
1059.680	1060.880	 El sabor sí es puro camote.
1061.080	1061.880	 Ja, ja, ja.
1062.080	1062.880	 Ya estoy llena.
1063.080	1063.880	 No puedo más.
1064.080	1064.880	 Ja, ja, ja.
1065.680	1069.520	 Ja.
1070.720	1072.120	 Hermana, pasa.
1072.320	1073.320	 Aún no has comido.
1073.520	1074.520	 Entra y come con nosotros.
1075.120	1079.180	 ¿De dónde salió este cordero?
1079.380	1081.580	 Tu hermano puso trampas con camote en la montaña.
1081.780	1084.180	 Atrapó dos ovejas salvajes y las trajo.
1084.380	1085.380	 Siéntate a comer.
1085.580	1087.780	 Te daré una pierna para que te lleves a casa.
1087.980	1090.180	 Huier, ¿por qué viniste tan tarde?
1090.380	1091.380	 Pasó algo.
1092.180	1094.580	 Papá, vine a buscar a Xiaoyang.
1094.580	1096.380	 Escuché que tiene contactos en la ciudad.
1096.580	1098.380	 Quería preguntar si puede conseguir medicina para la tos.
1098.580	1100.180	 Guan y yo la tosido mucho estas noches.
1100.380	1102.180	 Me temo que se le vuelva un mal crónico.
1102.380	1103.980	 Y tenga que toser así toda la vida.
1104.180	1105.980	 Hermana, pensé que era algo grave.
1106.180	1107.180	 Solo eso.
1107.380	1108.780	 Mañana iré a la ciudad por ella.
1108.980	1110.380	 ¿En serio puedes conseguirla?
1110.580	1112.980	 Mi suegro fue hoy y no encontró nada.
1113.180	1115.180	 Por eso vine corriendo a preguntarte.
1115.380	1116.780	 No te preocupes, hermana.
1116.980	1118.580	 Mañana sin falta te la traigo.
1118.780	1121.580	 Xiaoyang, ¿por qué no vamos al mercado negro ahora?
1121.780	1123.580	 Aprovechamos para vender una oveja.
1123.580	1125.380	 Y de paso le consigo la medicina a tu cuñado.
1125.580	1127.180	 Tu hermana está muy preocupada.
1127.380	1128.380	 No hace falta, no.
1128.580	1129.580	 Apenas me recuperé.
1129.780	1130.580	 Esperemos a mañana.
1130.780	1131.780	 Hermana, todo está bien.
1131.980	1132.980	 Podemos ir ahora mismo.
1133.180	1133.780	 Con el cordero encima.
1133.980	1134.780	 El cuerpo está caliente.
1134.980	1137.380	 El mercado negro está abierto y no está nevando.
1137.580	1138.780	 Yo cargaré la oveja.
1138.980	1140.380	 Vamos, yo te acompaño.
1140.980	1141.580	 Es tarde.
1141.780	1142.980	 Mejor usen la carretilla.
1143.180	1144.580	 Es mejor seguir cargando peso.
1144.780	1145.580	 Está bien.
1146.780	1148.580	 Turnense para jalar la carretilla.
1148.980	1149.980	 Y de paso vean.
1150.180	1152.180	 Si hay grano, compren un poco.
1153.180	1155.580	 Hermana, quédate a dormir aquí hoy.
1156.380	1157.580	 Volveremos tarde.
1158.580	1159.580	 Una vez que tenga la medicina,
1159.780	1161.980	 mañana temprano se la llevas a tu esposo.
1162.180	1162.980	 Está bien.
1163.980	1164.980	 Gracias, hermanito.
1165.180	1166.180	 Gracias, papá y mamá.
1173.370	1174.170	 Ruelve.
1174.970	1176.370	 Quédate a dormir con la niña y mi hermana
1176.570	1177.370	 en la habitación principal.
1177.570	1178.770	 Cuando papá y yo volvamos, dormiremos ahí.
1178.970	1180.770	 No me quedo tranquilo si te dejo sola.
1181.170	1182.170	 Tengan cuidado en el camino.
1182.370	1183.370	 Hermano, descuida.
1183.570	1184.970	 Cuidaré a mi cuñada y a Duobo.
1185.170	1186.370	 Vayan y vuelvan pronto.
1191.780	1192.580	 Vámonos, papá.
1199.350	1201.150	 Papá, deja que yo jale.
1201.350	1202.150	 Descansa.
1202.350	1203.150	 Soy joven.
1203.350	1203.950	 Aguanto.
1204.150	1205.550	 Ya sé que eres joven.
1206.950	1208.350	 Pero apenas te recuperaste
1208.550	1210.150	 y estuviste todo el día cazando.
1210.350	1211.750	 Si no, ya te habría dejado jalar.
1211.950	1213.350	 No pierdas tiempo y vámonos.
1213.750	1215.750	 Si no fuera porque no quiero chismes en el pueblo
1215.950	1216.750	 y evitar problemas,
1216.950	1218.150	 habíamos pedido prestado un caballo
1218.350	1219.550	 en el comité del pueblo.
1224.260	1225.060	 Comprado o venta.
1225.260	1227.060	 Si es venta, son 10 centavos de entrada.
1227.260	1228.260	 Venta, papá.
1228.860	1229.660	 Jolentrov.
1230.060	1231.060	 Tú quédate cuidando la carretilla
1231.260	1231.860	 para que no la roben.
1231.860	1233.260	 En cuanto venda y consiga la medicina, salgo.
1233.460	1234.060	 Está bien.
1234.260	1235.060	 En cuidado.
1235.260	1236.260	 Crita si pasa algo.
1237.060	1237.660	 En.
1238.260	1242.580	 Mediob.
1242.980	1247.540	 Joven.
1247.740	1249.140	 ¿Qué vendes en ese costal?
1249.740	1251.140	 ¿Por qué no lo abres?
1251.740	1252.940	 Es un cordero entero.
1253.140	1254.340	 Puedo verlo primero.
1254.740	1268.760	 Adelante.
1268.960	1269.560	 Hermano.
1269.760	1270.560	 ¿Cuánto pesa esta oveja?
1270.760	1271.960	 Te doy dos yuanes por kilo.
1272.160	1272.760	 ¿Qué dices?
1272.960	1273.960	 Pesa 50 kilos.
1274.160	1274.960	 Son 100 yuanes.
1275.160	1276.760	 Paco y entrega al momento.
1278.160	1278.960	 Trato hecho.
1280.560	1281.160	 Hermano.
1281.160	1282.960	 Hermano, ¿tienes más carne así?
1283.160	1283.960	 Claro que sí.
1284.160	1285.960	 Puedo conseguirte toda la que quieras.
1286.160	1286.760	 La que sea.
1286.960	1287.760	 La compro toda.
1287.960	1289.360	 Trabajo en compras de la fábrica textil.
1289.560	1290.560	 Vine especialmente por carne.
1290.760	1292.360	 Si puedes ser proveedor a largo plazo,
1292.560	1294.160	 te consigo un puesto de comprador en la fábrica.
1294.360	1294.760	 ¿Cómo ves?
1294.960	1296.760	 Hace poco le dije a mi familia que conocía a alguien de compras.
1296.960	1297.960	 Si consigo ese puesto,
1298.160	1299.560	 no podría sacar las cosas de mi supermercado.
1299.760	1300.360	 Sin tanto problema.
1300.560	1301.360	 Me llamo Ding Tianwei.
1301.560	1302.560	 De la fábrica textil.
1302.760	1303.760	 Ven a buscarme a la fábrica.
1303.960	1304.560	 Negociamos.
1304.760	1305.360	 Hecho.
1305.560	1306.960	 Iré a verte a la fábrica.
1307.160	1307.960	 Me retiro entonces.
1308.160	1323.940	 Espero tu noticia.
1324.540	1325.340	 ¿Qué tal?
1325.340	1326.140	 ¿Viste?
1326.340	1327.140	 Papá.
1327.340	1328.540	 Ya vendí el cordero.
1328.740	1332.230	 Salvamos de la ciudad y hablamos.
1332.430	1334.630	 ¿Cuánto sacaste por los 50 kilos?
1334.830	1336.030	 100 luanes.
1336.230	1337.830	 Caste 40 en arroz y medicina.
1338.030	1340.230	 También compré tabletas de regaliz para la tos.
1340.430	1341.830	 Y jarabe expectorante.
1343.030	1344.830	 Compraste arroz fino.
1347.750	1348.550	 Qué bien.
1348.750	1349.950	 Vamos a casa.
