start	end	text
277.010	279.010	 Mira, aquí todavía tengo.
279.010	281.010	 Papá, yo también quiero.
282.010	285.010	 Claro que sí, para nuestra dobo también.
285.010	290.010	 Hermana, mide tu pie y anota la talla. Y la de tu cuñada y mi madre, dane.
291.010	302.310	 Mamá, saldré a correr un poco. Siento los huesos tiesos de estar sentado.
302.310	305.310	 ¿Qué vas a hacer afuera con este frío?
305.310	308.310	 Si te enfermas, habrá que comprar medicina. No es mejor quedarse en casa.
308.310	312.310	 En primavera trabajarás en el campo y te cansarás de sobra. Quédate quieto.
312.310	315.310	 Ayer recorriste mucha montaña. ¿Qué haces saliendo otra vez hoy?
315.310	318.310	 Solo iré al río a dar una vuelta.
318.310	321.620	 Veré si pesco algo.
321.620	326.620	 Entonces ve, pero con cuidado. No te metas donde el hielo sea grueso, huiste.
326.620	359.510	 Viejo, nuestro hijo volvió a traer pescado.
359.510	361.510	 Últimamente comemos carne y pescado todo el tiempo.
361.510	363.510	 Aún queda medio cordero.
363.510	365.510	 Y ahora trajo seis calpas grandes.
365.510	367.510	 Ni en año nuevo comimos tan bien.
367.510	369.510	 ¿Por qué no vendemos el cordero?
369.510	371.510	 Y cambiamos por más grano. Podemos comer solo pescado.
371.510	373.510	 Mamá, llevamos días con el pescado.
373.510	376.510	 Mejor comamos el cordero para recuperar fuerzas.
376.510	378.510	 Llevaré el pescado a la ciudad.
378.510	380.510	 Lo venderé en el restaurante estatal.
380.510	382.510	 Y compraremos tela para ropa nueva.
382.510	384.510	 Entonces deja el pescado aquí.
384.510	393.140	 Ve a la ciudad después de almorzar.
393.140	394.140	 Muy bien.
394.140	397.140	 Cow, baby, ¿por qué no te quedas con tus padres?
397.140	399.140	 Siempre vienes para acá.
399.140	402.140	 Hermano, es que me aburro sola.
402.140	404.140	 Vengo a jugar con Dodo.
404.140	411.180	 Tía, no necesito que me diviertas para estar feliz.
411.180	413.180	 La niña ya tiene más de cinco años.
413.180	415.180	 Ya casi debe ir a la escuela.
415.180	417.180	 La escuela del pueblo no sirve.
417.180	419.180	 Si va, que sea en la ciudad.
419.180	421.180	 Hermano, duerme un rato más.
421.180	423.180	 Ayer regresaste muy tarde.
423.180	425.180	 Y en la tarde tienes que ir a la ciudad.
425.180	427.180	 Llevaré a Dodo a la habitación principal.
427.180	429.180	 Y ayudaré a mamá a cocinar.
429.180	431.180	 Por cierto, ya descansé bien.
431.180	432.180	 Está bien.
432.180	434.180	 Juega con Dodo un rato.
434.180	439.380	 Iremos cuando sea hora de comer.
439.380	441.380	 ¿A qué vas a la ciudad?
441.380	443.380	 ¿Y eso de comprar zapatos?
443.380	444.380	 Las veces más.
444.380	446.380	 Pensaba ir a venderlos a la ciudad.
446.380	447.380	 Y de paso comprar tela.
447.380	449.380	 Y comprarles unos zapatos abrigadores.
449.380	450.380	 Está bien.
450.380	452.380	 ¿Por qué no te acuestas conmigo otro rato?
452.380	454.380	 Aún falta mucho para la comida.
454.380	456.380	 Estar acostados en plena mañana.
456.380	458.380	 Qué mal si mamá o mi hermana entran.
458.380	459.380	 Duerme tú.
459.380	460.380	 No molestes.
460.380	461.380	 Es de día.
461.380	462.380	 Apenas sanaste.
462.380	464.380	 Y ya eres tan pegajoso.
464.380	466.380	 Más que nuestra hija.
466.380	468.380	 Siento el corazón más cálido que un caño encendido.
468.380	471.380	 Con razón, dicen que un hogar es donde hay alguien que te cuida.
471.380	473.380	 Ya, deja de decir cosas bonitas.
473.380	475.380	 Apenas sanas y ya estás de bromista.
475.380	476.380	 Si te enfermas de nuevo.
476.380	477.380	 A ver qué haces.
477.380	478.380	 Esposa.
478.380	481.380	 En primavera te compraré zapatos nuevos.
481.380	484.380	 No dejaré que sufras más a mi lado.
484.380	487.260	 Hermana.
487.260	488.260	 ¿Qué haces aquí?
488.260	490.260	 ¿Cómo sigue mi cuñado tras la medicina?
490.260	492.260	 La medicina es muy efectiva.
492.260	494.260	 La tomo en la mañana.
494.260	496.260	 Y la tos disminuyó.
496.260	497.260	 Ahora.
497.260	498.260	 Cuando siente que va a toser.
498.260	499.260	 Toma un poco del jarare.
499.260	501.260	 Y se le calma al instante.
501.260	502.260	 Que siga tomándola.
502.260	503.260	 Si no se recupera por completo.
503.260	505.260	 Te conseguiré más.
505.260	506.260	 Hermano.
506.260	508.260	 Vas mucho a la ciudad.
508.260	510.260	 Le pedí a mi suegro que te hiciera un permiso.
510.260	511.260	 Así.
511.260	512.260	 Cuando estés allá.
512.260	513.260	 Si te revisan.
513.260	514.260	 Solo enséñalo.
514.260	515.260	 Qué bien.
515.260	517.260	 Iré a vender pescado hoy.
517.260	518.260	 Lo llevaré.
518.260	519.260	 Ya.
519.260	520.260	 A comer todos.
520.260	522.640	 Mamá.
522.640	524.640	 Otra vez avena.
524.640	526.640	 ¿Por qué no arroz al vapor?
526.640	528.640	 El arroz gasta mucho.
528.640	530.640	 Con avena rendimos más.
530.640	532.640	 Hay que ahorrar el arroz.
532.640	533.640	 Jajaja.
533.640	534.640	 Camarada.
534.640	548.340	 ¿Dónde está la fábrica textil?
548.340	549.340	 Cida derecho.
549.340	550.340	 Y devuelta dos veces.
550.340	551.340	 Gracias.
551.340	552.340	 Buen día, señor.
552.340	553.340	 Joven.
553.340	565.540	 No eres de la fábrica.
565.540	566.540	 ¿Verdad?
566.540	567.540	 ¿Qué buscas?
567.540	568.540	 Hola, señor.
568.540	569.540	 Busco a Dean Gianui de compras.
569.540	570.540	 Él me pidió venir.
570.540	571.540	 ¿Qué quieres con nuestro jefe de compras?
571.540	572.540	 Soy proveedor.
572.540	573.540	 Él quiere comprarme carne de cerdo.
573.540	574.540	 Y cordero.
574.540	575.540	 Por eso vine.
575.540	576.540	 ¿Puedes comprarme carne de cerdo?
576.540	577.540	 Por eso vine.
577.540	578.540	 ¿Qué quieres con nuestro jefe de compras?
578.540	579.540	 Soy proveedor.
579.540	580.540	 Él quiere comprarme carne de cerdo.
580.540	581.540	 Y cordero.
581.540	582.540	 Por eso vine.
582.540	583.540	 ¿Puedes conseguir carne de cerdo y cordero?
583.540	584.540	 Sí, puedo.
584.540	585.540	 Jajaja.
585.540	586.540	 Adelante.
586.540	587.540	 Pasa a sentarte.
587.540	588.540	 Hace frío afuera.
588.540	589.540	 Te serviré de agua caliente.
589.540	590.540	 Siéntate a descansar.
590.540	591.540	 Iré por el director Dean.
591.540	592.540	 Es que, como no eres de la fábrica, no puedes entrar.
592.540	593.540	 Son las reglas.
593.540	594.540	 ¿Qué molesto?
594.540	595.540	 Está bien.
595.540	596.540	 Comprar a un jefe de compras.
596.540	597.540	 ¿Qué quieres con nuestro jefe de compras?
597.540	598.540	 Por eso vine.
598.540	599.540	 ¿Qué quieres con nuestro jefe de compras?
599.540	600.540	 Por eso vine.
600.540	601.540	 ¿Qué quieres con nuestro jefe de compras?
601.540	602.540	 Por eso vine.
602.540	603.540	 ¿Qué quieres con nuestro jefe de compras?
603.540	604.540	 Por eso vine.
604.540	605.540	 ¿Qué quieres con nuestro jefe de compras?
605.540	606.540	 No puedes entrar.
606.540	607.540	 Son las reglas.
607.540	608.540	 ¿Qué molesto?
608.540	609.540	 Está bien.
609.540	610.540	 Compraré una estufa así para la casa.
610.540	611.540	 Para no pasar frío en invierno.
611.540	615.200	 Director Dean, este joven lo busca.
615.200	616.200	 Vag, te estaba esperando.
616.200	617.200	 Llevo toda la mañana esperando.
617.200	618.200	 Temía que fueras a otra fábrica.
618.200	619.200	 Hola, hermano Dean.
619.200	620.200	 Regresé al pueblo anoche.
620.200	621.200	 Dormí tarde y vine después de comer.
621.200	622.200	 ¿De qué te preocupas?
622.200	623.200	 ¿De qué te preocupas?
623.200	624.200	 ¿De qué te preocupas?
624.200	625.200	 ¿De qué te preocupas?
625.200	626.200	 ¿De qué te preocupas?
626.200	627.200	 ¿De qué te preocupas?
627.200	628.200	 ¿De qué te preocupas?
628.200	629.200	 ¿De qué te preocupas?
629.200	630.200	 ¿De qué te preocupas?
630.200	631.200	 ¿De qué te preocupas?
631.200	632.200	 ¿De qué te preocupas?
798.780	799.780	 Ten cuidado en el camino.
799.780	800.780	 Aquí te espero.
803.600	806.600	 Director, ¿quién es ese joven?
806.600	808.600	 ¿Qué trae en esa carreta?
810.600	812.600	 Es un muchacho especial.
812.600	815.600	 Trae cerdo, cordero y pollo.
816.600	820.260	 ¿Cerdo y cordero?
820.260	841.460	 ¿Qué traes en esa carreta?
841.460	847.690	 Mire, señor.
847.690	849.690	 ¡Por Dios, muchacho!
850.690	852.690	 Si hubieras venido en la mañana,
852.690	858.750	 abriamos almorzado cordero vivo en el pueblo queda lejos señor iré a la
858.750	862.930	 cafetería maneja con cuidado por fin regresaste el viejo su y yo te
862.930	871.650	 esperábamos déjame ver hermano din maestro su aquí están excelente maestro
871.650	878.800	 su ese todo y haga la factura llevaré al hermano cao por su pago aprendices
878.800	883.880	 salgan a mover la carga hermano cao el precio de aquí no es como el del
883.920	888.720	 mercado negro pagaremos 1.5 por kilo de carne y 10 yuanes por pollo te parece
888.720	893.240	 bien sé que todo está caro de los somos una fábrica estatal hay
893.240	901.840	 regulaciones de precios acepto lo que diga hermano din genial temía que no
901.840	910.640	 aceptaras este precio director el pesaje terminó 400 kilos de cerdo
910.680	924.240	 bien 200 kilos de cordero 30 pollos increíble son 1.200 yuanes suficiente
924.240	930.600	 para comprar una casa en la ciudad de verdad alcanza para una casa claro
930.600	934.400	 una casa con patio muy bonita tiene como ser habitaciones como quieres
934.400	939.200	 comprar el viejo new vende una cerca de la escuela la gente casta todo en
939.200	942.960	 comida nadie tiene dinero para casas nadie la ha comprado en mucho tiempo
942.960	949.360	 cuánto pide por la casa puedo parar con arroz tienes arroz si no mucho
949.360	963.160	 unas cuantas toneladas en sabá guardarlo cao vamos por tu pago y
963.160	967.280	 registro luego buscamos al viejo new por cierto hermano din consideren
967.280	971.480	 algunos cupones necesito comprar comida y zapatos y lleva algo a mi
971.480	976.640	 familia claro luego te los doy vamos a contabilidad por tu pago luego a
976.680	984.040	 personal por tu contrato ya tengo trabajo excelente jaja si acepta el
984.040	990.080	 intercambio por arroz mejor si no trae el arroz a la fábrica yo te doy el
990.080	996.160	 dinero para la casa gracias hermano din hoy conocí a una
996.160	1009.120	 persona generosa tengo trabajo y casa en un día bien desde hoy eres
1009.160	1013.360	 oficialmente comprador de la fábrica textilonxin gracias director siéntate
1013.360	1017.760	 un momento iré por el viejo new trabaja en el taller de al lado
1017.760	1022.680	 viejo new te presento este es caos inyán nuestro nuevo comprador quiere
1022.680	1026.440	 comprar una casa viejo new cuánto pide por su casa este es el viejo new
1026.440	1030.560	 empleado veterano de la fábrica mi casa es excelente tiene una verana
1030.560	1034.920	 casa muy fresca en verano tiene seis habitaciones principales y un patio
1034.960	1041.120	 amplio me mudaré con mi hijo ya no viviré ahí pido 1,200 yuanes en tiempos
1041.120	1046.480	 mejores valdría 2,000 sin problemas señor liú aceptaría arroz a un de
1046.480	1052.280	 1 por kilo 1,200 kilos de arroz por su casa de verdad tienes ese arroz
1052.280	1057.640	 1,200 kilos es demasiado que le parece esto 600 kilos de arroz y 600
1057.640	1062.080	 yuanes la casa es tuya trato vamos a ver la casa ahora somos de la
1062.080	1065.680	 misma fábrica si me gusta le doy los 600 viejo liú su casa es muy buena lo
1065.680	1070.400	 verás cuando llegues bien bien pediré permiso y vamos ahora mismo
1070.400	1074.760	 hermano din iré a ver la casa le traeré los suministros en dos semanas
1074.760	1079.920	 cao el viejo liú ya no quiere el arroz no se lo des a él tráelo a
1079.920	1083.120	 la fábrica yo me encargo en la fábrica comemos puro pan de maíz
1083.120	1087.520	 hasta el director trae un poco de arroz para mejorar la comida de los
1087.560	1093.600	 directivos hermano din en cuanto me instale traeré el arroz vete a ver la
1093.600	1119.520	 casa llámame si hay problema está bien cao mira esta casa
1119.520	1127.480	 mira esta vacacia llena de hojas en verano muy fresca para descansar mira
1127.480	1132.520	 las ventanas de vidrio muebles de buena madera muy resistentes el cañiz
1132.520	1137.680	 muy sólido muy cálido en invierno nada de frío seca hay una escuela y un
1137.680	1142.240	 parque ideal para la escuela y pasear cuando traigas a tu esposa y hija la
1142.240	1146.480	 niña tendrá la escuela seca mira hay una antena afuera si compras una
1146.480	1150.500	 televisión puedes colgarla y verla por cierto din dice que eres del pueblo si
1150.500	1154.440	 tienes esposa pon la casa a su nombre así obtendrás su registro urbano
1154.440	1158.120	 y que fue un regalo de una sobrina así los años eran más fáciles está
1158.120	1162.640	 bien entendido viejo liú compró la casa aquí tienen el dinero mañana
1162.640	1165.640	 al mediodía hacemos los papeles llevaré los seis costales de arroz
1165.640	1169.560	 para que los pese te diré permiso mañana y te espero en la casa a las 2
1169.560	1172.120	 p.m. cuando abran la oficina hacemos el trámite aquí están las chaves de
1172.120	1176.800	 la puerta principal y de todas las habitaciones te las entrego perfecto
1176.800	1220.140	 gracias viejo liú que es el mundo hay director traje un gran talento a la
1220.140	1226.280	 fábrica din no seas exagerado mírate que alterado estás qué talento puede
1226.280	1229.400	 haber no me crean si no quiere le
1229.400	1231.560	 contare lo que pasó ayer en el mercado negro con caos y llan se lo
1231.560	1235.200	 diré todo paso a paso entonces porque no lo trajo de inmediato no se abresure
1235.200	1238.080	 director el joven vino por la tarde preguntó si la fábrica necesitaba
1238.080	1241.640	 carne dije que claro que sí adivine qué pasó sacó cuatro canales de
1241.640	1246.440	 cerdo cuatro corderos y 30 pollos me dejó boqui abierto vi que era un
1246.440	1248.920	 talento y por miedo a perderlo lo contraté como comprador de la
1248.920	1251.640	 fábrica sin horario fijo sólo debe traer suministros dos veces al mes
1251.640	1255.560	 luego le comenté que con los 1,200 de pago podía comprar una buena
1255.560	1259.280	 casa adivine que respondió dijo que pagaría con 1,200 kilos de arroz
1259.600	1263.320	 parece que el chico tiene madera debes pretenerla a toda costa
1263.320	1266.720	 hagamos esto no quedan dos televisores nuevos en el almacén
1266.720	1271.240	 dale uno como recompensa no dejes que se va cuando venga a entregar el
1271.240	1274.880	 arroz le entregaré del televisor ha llegado un verdadero talento a la
1274.880	1278.400	 fábrica que lastima que sea tan tarde hoy si no habríamos cenado
1278.400	1297.550	 cordero que es ese ruido mamá parece una carreta
1297.870	1302.510	 si hayan de donde sacaste esa mula tan grande nunca había visto una tan
1302.510	1306.870	 fuerte en el pueblo mamá es una mula no un caballo la
1306.870	1313.510	 fábrica me la dio para el transporte ayúdeme con mi hermana
1313.510	1316.510	 echen una mano bajemos las cosas de la carreta debo
1316.510	1334.430	 descargarla y meter la mula al establo bien de acuerdo mamá ya está
1334.430	1339.270	 la comida me muero de hambre por cierto donde está papá sabía que
1339.270	1347.450	 tendrías hambre te guardamos cordero doy a calentarlo tu padre fue al
1347.450	1351.810	 comité está platicando con el jefe
